-0.639, -0.283, 0.060, -2.925, 1.138, 0.000 
-0.830, 0.014, 0.058, -2.900, 1.199, -0.007 
-0.825, 0.039, 0.053, -2.825, 1.360, -0.021 
-0.817, 0.052, 0.051, -2.761, 1.481, -0.030 
-0.807, 0.061, 0.048, -2.712, 1.565, -0.037 
-0.795, 0.066, 0.045, -2.686, 1.602, -0.045 
-0.781, 0.076, 0.043, -2.683, 1.605, -0.050 
-0.767, 0.089, 0.044, -2.698, 1.581, -0.050 
-0.753, 0.102, 0.044, -2.724, 1.538, -0.053 
-0.738, 0.112, 0.043, -2.750, 1.492, -0.056 
-0.724, 0.121, 0.042, -2.772, 1.452, -0.060 
-0.710, 0.127, 0.041, -2.779, 1.438, -0.066 
-0.697, 0.135, 0.043, -2.772, 1.453, -0.060 
-0.688, 0.143, 0.046, -2.759, 1.481, -0.052 
-0.681, 0.151, 0.045, -2.742, 1.511, -0.056 
-0.675, 0.156, 0.045, -2.734, 1.526, -0.058 
-0.666, 0.163, 0.045, -2.728, 1.537, -0.058 
-0.656, 0.170, 0.047, -2.720, 1.551, -0.054 
-0.642, 0.177, 0.048, -2.705, 1.580, -0.051 
-0.626, 0.182, 0.048, -2.686, 1.612, -0.050 
-0.608, 0.185, 0.048, -2.675, 1.629, -0.052 
-0.587, 0.187, 0.047, -2.667, 1.642, -0.054 
-0.564, 0.193, 0.049, -2.655, 1.663, -0.048 
-0.543, 0.200, 0.050, -2.639, 1.689, -0.048 
-0.518, 0.207, 0.050, -2.619, 1.720, -0.050 
-0.489, 0.212, 0.050, -2.594, 1.759, -0.052 
-0.462, 0.217, 0.050, -2.581, 1.780, -0.050 
-0.434, 0.221, 0.050, -2.579, 1.784, -0.055 
-0.406, 0.224, 0.050, -2.594, 1.765, -0.056 
-0.381, 0.226, 0.050, -2.613, 1.739, -0.055 
-0.357, 0.229, 0.051, -2.640, 1.697, -0.050 
-0.339, 0.235, 0.052, -2.670, 1.652, -0.046 
-0.323, 0.243, 0.053, -2.697, 1.610, -0.044 
-0.307, 0.251, 0.054, 2.714, -1.579, 0.044 
-0.293, 0.260, 0.054, 2.726, -1.559, 0.039 
-0.281, 0.270, 0.055, 2.734, -1.545, 0.035 
-0.272, 0.280, 0.055, 2.738, -1.536, 0.034 
-0.262, 0.288, 0.055, 2.738, -1.536, 0.034 
-0.254, 0.295, 0.055, 2.733, -1.542, 0.034 
-0.246, 0.302, 0.055, 2.729, -1.548, 0.034 
-0.238, 0.309, 0.055, 2.725, -1.555, 0.033 
-0.231, 0.314, 0.055, 2.722, -1.560, 0.032 
-0.226, 0.318, 0.055, 2.724, -1.554, 0.031 
