-0.665, -0.176, 0.060, -2.925, 1.138, 0.000 
-0.553, 0.098, 0.060, -3.007, 0.900, 0.001 
-0.543, 0.116, 0.060, -3.016, 0.869, -0.002 
-0.535, 0.131, 0.060, -3.030, 0.821, -0.003 
-0.531, 0.144, 0.061, -3.050, 0.744, 0.004 
-0.532, 0.155, 0.062, -3.073, 0.637, 0.014 
-0.536, 0.165, 0.063, -3.091, 0.536, 0.014 
-0.540, 0.177, 0.062, -3.104, 0.455, 0.012 
-0.543, 0.191, 0.063, -3.112, 0.402, 0.011 
-0.547, 0.208, 0.063, -3.114, 0.375, 0.015 
-0.551, 0.224, 0.064, -3.111, 0.396, 0.015 
-0.554, 0.241, 0.063, -3.105, 0.447, 0.011 
-0.552, 0.258, 0.063, -3.101, 0.474, 0.011 
-0.548, 0.277, 0.063, -3.092, 0.527, 0.012 
-0.541, 0.300, 0.063, -3.082, 0.582, 0.012 
-0.533, 0.321, 0.063, -3.070, 0.639, 0.015 
-0.523, 0.343, 0.063, -3.058, 0.695, 0.013 
-0.508, 0.364, 0.063, -3.043, 0.757, 0.013 
-0.492, 0.381, 0.063, -3.029, 0.816, 0.009 
-0.474, 0.397, 0.061, -3.015, 0.875, 0.003 
-0.459, 0.413, 0.062, -2.997, 0.930, 0.005 
-0.444, 0.427, 0.061, -2.982, 0.980, 0.004 
-0.429, 0.436, 0.060, -2.972, 1.018, -0.001 
-0.412, 0.438, 0.059, 2.958, -1.054, 0.005 
-0.396, 0.437, 0.060, 2.947, -1.087, 0.003 
-0.380, 0.438, 0.061, -2.931, 1.124, 0.002 
-0.364, 0.442, 0.061, -2.921, 1.149, 0.003 
-0.350, 0.447, 0.060, -2.931, 1.122, 0.002 
-0.338, 0.454, 0.060, -2.957, 1.053, 0.002 
-0.327, 0.462, 0.060, -2.983, 0.980, 0.000 
-0.318, 0.468, 0.060, -3.002, 0.920, 0.000 
-0.309, 0.474, 0.060, -3.017, 0.869, 0.000 
-0.301, 0.479, 0.060, -3.024, 0.843, 0.001 
-0.295, 0.483, 0.060, -3.024, 0.843, 0.000 
-0.291, 0.486, 0.060, -3.015, 0.873, 0.000 
